acceptance,受け入れ,ækˈsɛptəns
casual,無頓着の；普段着の；臨時の；偶然の,ˈkæʒəwəl
ceiling,天井,ˈsilɪŋ
centimeter,センチメートル,ˈsɛntəˌmitər
cheer,歓声,ʧɪr
clip,切りそろえる；切り抜く；切り抜き,klɪp
cloth,布,klɔθ
cloudy,曇った；陰気な,ˈklaʊdi
clue,手がかり,klu
commerce,商業,ˈkɑmərs
commonly,一般に,ˈkɑmənli
complication,複雑,ˌkɑmpləˈkeɪʃən
conditioner,柔軟剤；調整する人；ヘアコンディショナー,kənˈdɪʃənər
container,容器,kənˈteɪnər
contractor,請負人,ˈkɑnˌtræktər
copier,コピー機,ˈkɑpiər
correction,補正,kəˈrɛkʃən
correctly,正しく；適切に；正確には,kəˈrɛktli
creativity,創造性,ˌkrieɪˈtɪvəti
deck,甲板；床；飾られる,dɛk
decorate,飾る,ˈdɛkəˌreɪt
decoration,飾り；装飾品；装飾,ˌdɛkəˈreɪʃən
departmental,部門,dɪˌpɑrtˈmɛnəl
desirable,望ましい,dɪˈzaɪrəbəl
desperate,やけくその,ˈdɛsprɪt
developer,開発者,dɪˈvɛləpər
dine,食事をする；正餐をとる；ごちそうする.,daɪn
diner,安レストラン；食事をする人,ˈdaɪnər
directory,人名簿；住所録；登録簿；管理の,dəˈrɛktəri
disappointment,失望,ˌdɪsəˈpɔɪntmənt
disgust,嫌悪,dɪsˈgʌst
dive,飛び込む,daɪv
drawer,引き出し,drɔr
drum,太鼓；太鼓を叩く；たたく,drʌm
economical,経済,ˌɛkəˈnɑmɪkəl
economically,経済的に,ˌɛkəˈnɑmɪkli
economist,経済学者,ɪˈkɑnəmɪst
economize,節約する,ɪˈkɑnəˌmaɪz
editorial,社説,ˌɛdəˈtɔriəl
electrical,電気,ɪˈlɛktrɪkəl
electrician,電気工,ɪlɛkˈtrɪʃən
elephant,象,ˈɛləfənt
energetic,精力的な；活発な；意欲的な,ˌɛnərˈʤɛtɪk
engagement,婚約；約束,ɛnˈgeɪʤmənt
environmentally,環境保護の面から；環境保護の観点から言えば,ɪnˌvaɪrənˈmɛntəli
equip,"備え付ける, 装備する",ɪˈkwɪp
excellence,優秀,ˈɛksələns
familiarity,親しみやすさ,fəˌmɪlˈjɛrəti
familiarize,慣れさせる；普及させる,fəˈmɪljəˌraɪz
faulty,不完全,ˈfɔlti
favorable,好ましい,ˈfeɪvərəbəl
frustrate,イライラさせる；失敗する；挫折する,ˈfrʌˌstreɪt
fry,稚魚,fraɪ
garage,車庫；修理工場；車庫に入れる,gəˈrɑʒ
grocery,食料品,ˈgroʊsəri
guidance,案内；指導；手引き,ˈgaɪdəns
handy,扱いやすい；便利な；すぐ手が届く,ˈhændi
harmful,有害,ˈhɑrmfəl
hesitation,躊躇,ˌhɛzəˈteɪʃən
hobby,趣味,ˈhɑbi
identification,識別,aɪˌdɛntəfəˈkeɪʃən
indicator,指示する人；尺度；表示計器,ˈɪndəˌkeɪtər
individually,個々に,ˌɪndɪˈvɪʤuəli
influential,影響力の強い；有力な,ˌɪnfluˈɛnʧəl
inspect,調べる；検査する；検閲する；視察する,ɪnˈspɛkt
inspection,立入検査；視察；監査；調査,ɪnˈspɛkʃən
inspector,調査官；検査官；警視正,ɪnˈspɛktər
instruct,指示を与える；命じる；教える,ɪnˈstrʌkt
instructor,指導者；先生；専任講師,ɪnˈstrʌktər
intently,"一心に, 熱心に",ɪnˈtɛntli
interrupt,割り込み,ˌɪntəˈrʌpt
introductory,入門,ˌɪntrəˈdʌktəri
invaluable,貴重な,ɪnˈvæljəbəl
irregular,不定期,ɪˈrɛgjələr
jam,混雑する,ʤæm
jeans,ジーンズ,ʤinz
juice,ジュース,ʤus
junior,後輩の；経験の浅い；若い方の；年少者,ˈʤunjər
kilometer,キロメートル,kəˈlɑmətər
knowledgeable,精通している；熟知した；博識な,ˈnɑləʤəbəl
lab,実験室；研究所,læb
lamp,街灯；電気スタンド,læmp
lane,小道；路地；車線,leɪn
lawn,芝生,lɔn
lengthy,長い,ˈlɛŋθi
librarian,司書,laɪˈbrɛriən
lighter,火をつける人；ライター,ˈlaɪtər
lightweight,軽量,ˈlaɪˈtweɪt
mask,覆面；仮面；表情；見せかけ,mæsk
memorize,暗記,ˈmɛməˌraɪz
microwave,マイクロ波,ˈmaɪkrəˌweɪv
mower,芝刈り機,ˈmoʊər
nail,くぎ；びょう；爪,neɪl
occurrence,発生,əˈkɜrəns
officially,正式に,əˈfɪʃəli
operational,使用できて；機能して；作戦上の；操作上の,ˌɑpəˈreɪʃənəl
optional,自分で選べる；随意の,ˈɑpʃənəl
organizational,組織,ˌɔrgənəˈzeɪʃənəl
organizer,主催者,ˈɔrgəˌnaɪzər
oven,オーブン；天火；かまど；炉,ˈʌvən
pan,鍋；酷評；酷評される,pæn
performer,役者；芸人；遂行する人；選手,pərˈfɔrmər
periodical,定期刊行物,ˌpɪriˈɑdɪkəl
periodically,定期的に,ˌpiriˈɑdɪkəli
pet,愛玩動物；大好きな；お気に入りの；支持している,pɛt
pie,パイ；総額；簡単な仕事；楽勝,paɪ
plug,プラグ；売り込み；栓をする；つなぐ；差し込む；一生懸命働く；,plʌg
polish,研磨,ˈpɑlɪʃ
polite,丁寧,pəˈlaɪt
pollute,汚染,pəˈlut
popularity,人気,ˌpɑpjəˈlɛrəti
productive,生産,prəˈdʌktɪv
productivity,生産性,ˌproʊdəkˈtɪvəti
professionally,専門的に,prəˈfɛʃənəli
projection,投影,prəˈʤɛkʃən
provider,プロバイダ；供給者,prəˈvaɪdər
purchaser,購入者,ˈpɜrʧəsər
quit,終了する,kwɪt
ray,光線；熱線,reɪ
rearrange, 〈物〉を並べ換える；〈会議など〉の予定を組み直す.,ˌriəˈreɪnʤ
reassure,安心させる；元気付ける,ˌriəˈʃʊr
recipe,調理法；原因；秘訣,ˈrɛsəpi
redecorate,改装,riˈdɛkəˌreɪt
referral,照会,rɪˈfɜrəl
refrigerator,冷蔵庫,rəˈfrɪʤəˌreɪtər
relaxation,くつろぎ,ˌrilækˈseɪʃən
reliability,確実,riˌlaɪəˈbɪləti
relocate,再配置する；新しい場所に移す[移る],riˈloʊkeɪt
relocation,移転,riˈloʊˈkeɪʃən
reminder,思い出させるもの；通知；督促状,riˈmaɪndər
removal,除去,rɪˈmuvəl
repeatedly,何度も；繰り返して,rɪˈpitɪdli
repetition,繰り返すこと；反復；暗唱；再発,ˌrɛpəˈtɪʃən
replacement,置換,rɪˈpleɪsmənt
reschedule,再スケジュール,riˈskɛʤul
reservation,予約,ˌrɛzərˈveɪʃən
salad,サラダ,ˈsæləd
sandwich,サンドイッチ,ˈsændwɪʧ
scenery,風景,ˈsinəri
seasonal,季節的,ˈsizənəl
seeker,探し求める人；探求者,ˈsikər
separately,別々に,ˈsɛpərətli
sew,縫う,soʊ
similarity,相似,ˌsɪməˈlɛrəti
smoothly,なめらかに,ˈsmuðli
sock,靴下,sɑk
soup,スープ,sup
specification,仕様,ˌspɛsɪfɪˈkeɪʃən
spray,噴射,spreɪ
steadily,どんどん,ˈstɛdəli
steak,ステーキ,steɪk
suspicious,疑わしい,səˈspɪʃəs
tech,工科大学；技術；技術者；技術系の,tɛk
tempt,誘惑する；惹きつける,tɛmpt
tomato,トマト,təˈmeɪˌtoʊ
toner,トナー；化粧品の一種,ˈtoʊnər
towel,タオル,ˈtaʊəl
traditionally,伝統的に,trəˈdɪʃənəli
tray,盆；盛り皿,treɪ
unattended,無人,ənəˈtɛndɪd
unavailable,無効,ˌʌnəˈveɪləbəl
unfamiliar,見知らぬ,ˌʌnfəˈmɪljər
unlimited,無制限,ənˈlɪmətəd
unpleasant,不快,ənˈplɛzənt
unplug,電源を抜く；栓を抜く；プラグを抜く,ənˈplʌg
unreliable,不確実,ˌʌnrɪˈlaɪəbəl
wisely,賢く,ˈwaɪzli
wool,羊毛；毛糸,wʊl
absorb,吸収する,əbˈzɔrb
accommodate,収容できる；定員である；順応する,əˈkɑməˌdeɪt
accomplishment,完成,əˈkɑmplɪʃmənt
accumulate,累積,əˈkjumjəˌleɪt
accuracy,正確さ,ˈækjərəsi
accurately,正しく,ˈækjərətli
administrative,行政の,ədˈmɪnəˌstreɪtɪv
administrator,管理者,ədˈmɪnəˌstreɪtər
admission,入場,ædˈmɪʃən
affirmative,肯定的な,əˈfɜrmətɪv
alert,警報,əˈlɜrt
allocate,割り当てる,ˈæləˌkeɪt
alternatively,或いは,ɔlˈtɜrnətɪvli
annually,毎年,ˈænjuəli
apology,謝罪,əˈpɑləʤi
approximate,近似,əˈprɑksəmət
architect,建築家,ˈɑrkəˌtɛkt
architectural,建築,ˌɑrkəˈtɛkʧərəl
aspect,側面,ˈæˌspɛkt
assemble,組み立てる,əˈsɛmbəl
assembly,議会；立法府；集会；組み立てキット,əˈsɛmbli
assignment,割り当て,əˈsaɪnmənt
athletic,運動の好きな；運動選手の,æˈθlɛtɪk
audit,監査,ˈɔdɪt
auditor,監査役,ˈɔdɪtər
authorization,認定,ˌɔθərəˈzeɪʃən
authorize,権威を与える；正式に許可する,ˈɔθəˌraɪz
bacteria,細菌,bækˈtɪriə
bargain,格安品；掘り出し物；契約,ˈbɑrgən
bench,長いす；裁判官；作業台；ベンチに下げる,bɛnʧ
cabinet,戸棚,ˈkæbənət
cancellation,取り消し,ˌkænsəˈleɪʃən
candidate,候補者,ˈkændədeɪt
chairperson,会長,ˈʧɛrˌpɜrsən
chilly,肌寒い,ˈʧɪli
circuit,回路,ˈsɜrkət
circulate,循環する；広まる；流通する,ˈsɜrkjəˌleɪt
circulation,循環；流通；広まり；発行部数,ˈsɜrkjəˌleɪʃən
clarify,明らかにする,ˈklɛrəˌfaɪ
client,依頼人；相談者；患者,ˈklaɪənt
clinic,診療所,ˈklɪnɪk
collaboration,共同で行う；共同研究する；通じる,kəˌlæbəˈreɪʃən
compensate,"埋め合わせる, 補う；補償をする",ˈkɑmpənˌseɪt
conductor,指揮者；導体；導線；指導者；管理者,kənˈdʌktər
conference,会議,ˈkɑnfərəns
confirmation,確認,ˌkɑnfərˈmeɪʃən
consent,同意,kənˈsɛnt
considerably,かなり,kənˈsɪdərəbli
consistently,一貫して,kənˈsɪstəntli
consultation,相談,ˌkɑnsəlˈteɪʃən
consumption,消費,kənˈsʌmpʃən
contestant,競技者,kənˈtɛstənt
continental,アメリカ本土の；大陸の,ˌkɑntəˈnɛntəl
contradict,否定する；矛盾する,ˌkɑntrəˈdɪkt
contradiction,矛盾；否定すること；反対の主張,ˌkɑntrəˈdɪkʃən
convey,伝える,kənˈveɪ
cooperate,協力,koʊˈɑpəˌreɪt
coordinate,座標,koʊˈɔrdənət
coordinator,調整役；コーディネーター,koʊˈɔrdəˌneɪtər
correspondence,対応,ˌkɔrəˈspɑndəns
counselor,助言者；相談者,ˈkaʊnsələr
criteria,基準,kraɪˈtɪriə
cruise,遊覧航海する；ぶらぶら走る,kruz
dedication,献身,ˌdɛdəˈkeɪʃən
delegate,"代表者,代表委員,代理人；下院議員；を委任する,任せる；を代表として派遣する",ˈdɛləgət
descriptive,記述的な；描写的な；解説的な,dɪˈskrɪptɪv
designate,指名,ˈdɛzɪgnɪt
devastate,打ちのめされる；挫折させられる；荒廃させられる,ˈdɛvəˌsteɪt
disable,障害を負わせる；作動しないようにする,dɪˈseɪbəl
disagreement,不一致,dɪsəˈgrimənt
disposal,処分；配置；処分権,dɪˈspoʊzəl
dispose,配置させる；(of)処分する,dɪˈspoʊz
disrupt,"混乱させる；存続不可能にする, 崩壊させる.",dɪsˈrʌpt
disruption," 混乱, 中断, 遮断, 分裂",dɪsˈrʌpʃən
distribution,分布,ˌdɪstrəˈbjuʃən
distributor,販売会社；分配する人；配電機,dɪˈstrɪbjətər
documentation,公式文書；証拠書類；書類の作成；説明書,ˌdɑkjəmɛnˈteɪʃən
donate,寄付する,ˈdoʊˌneɪt
donation,寄付,doʊˈneɪʃən
dose,用量,doʊs
drill,ドリル,drɪl
eager,熱心な,ˈigər
effectiveness,効果,ɪˈfɛktɪvnəs
efficiently,効率的に,ɪˈfɪʃəntli
electronically,電子的に,ɪˌlɛkˈtrɑnɪkəli
elevate,昇格,ˈɛləˌveɪt
elevator,エレベーター,ˈɛləˌveɪtər
enthusiasm,熱意,ɪnˈθuziˌæzəm
enthusiast,熱狂者,ɛnˈθuziˌæst
enthusiastic,熱心な,ɪnˌθuziˈæstɪk
enthusiastically,熱狂的に,ɪnˌθuziˈæstɪkli
evident,明らか,ˈɛvədənt
exceptional,異例,ɪkˈsɛpʃənəl
excessive,過大,ɪkˈsɛsɪv
exclusive,排他的,ɪkˈsklusɪv
exclusively,排他的に,ɪkˈsklusɪvli
explorer,冒険者,ɪkˈsplɔrər
fabric,布；布製の；基本構造；基礎,ˈfæbrɪk
facilitate,容易にする；促進する；助長する,fəˈsɪləˌteɪt
faculty,学部,ˈfækəlti
flavor,味,ˈfleɪvər
flexibility,柔軟性,ˌflɛksəˈbɪləti
formally,正式に,ˈfɔrməli
foster,育む；伸ばす；助長する,ˈfɑstər
founder,創業者,ˈfaʊndər
generous,寛容な,ˈʤɛnərəs
goods,品,gʊdz
graduation,卒業,ˌgræʤuˈeɪʃən
graphic,生々しい；詳細な；画像の；画像；図表,ˈgræfɪk
graphics,作画；画像処理；画像データ；挿絵,ˈgræfɪks
hazard,危険,ˈhæzərd
hazardous,危険な,ˈhæzərdəs
highway,高速道路,ˈhaɪˌweɪ
ideally,理想的には；,aɪˈdili
illogical,非論理的,ɪˈlɑʤɪkəl
impact,影響,ˈɪmpækt
inappropriate,不適切,ˌɪnəˈproʊpriɪt
inefficient,非効率的な,ɪnɪˈfɪʃənt
inflate,ふくらませる；誇張する,ɪnˈfleɪt
ingredient,成分,ɪnˈgridiənt
inquire,問い合わせ,ɪnˈkwaɪr
insert,挿入する；書き入れる；挿入物,ɪnˈsɜrt
inspiration,霊感,ˌɪnspəˈreɪʃən
installation,取り付け；設置；装置；設備；インスタレーション,ˌɪnstəˈleɪʃən
institute,学院,ˈɪnstəˌtut
insufficient,不十分,ɪnsəˈfɪʃənt
interactive,対話,ˌɪntəˈræktɪv
interfere,干渉する,ˌɪntərˈfɪr
internationally,国際,ˌɪntərˈnæʃənəli
interpreter,通訳,ɪnˈtɜrprətər
invention,発明,ɪnˈvɛnʃən
irrelevant,無関係,ɪˈrɛləvənt
jet,噴出；噴出物；噴出する；ジェット機で輸送する,ʤɛt
leak,漏れる；漏らす；漏れ；穴,lik
lease,賃貸借契約；賃借権；賃借する,lis
lecturer,講師,ˈlɛkʧərər
lobby,ホール；政治的圧力団体；陳情する,ˈlɑbi
logical,論理的,ˈlɑʤɪkəl
loyal,忠誠な；誠実な；熱烈な,ˈlɔɪəl
loyalty,誠実さ；忠誠；友愛；支持；義務,ˈlɔɪəlti
mechanic,機械工；修理工,məˈkænɪk
mechanical,機械の；機械的な,məˈkænɪkəl
media,メディア,ˈmidiə
merge,合併する；一つになる；同化する,mɜrʤ
merger,合併,ˈmɜrʤər
mild,軽い；まろやかな；寛大な；穏やかな,maɪld
modification,変形,ˌmɑdəfəˈkeɪʃən
nominate,推薦する；候補に指名する；任命する,ˈnɑmənət
nomination,指名,ˌnɑməˈneɪʃən
obligate,絶対,ˈɑbləˌgeɪt
oblige,(be ~d)強制される；喜ばせる；手伝う,əˈblaɪʤ
obtain,入手する；(~ A B)AにBを得させる；存続する,əbˈteɪn
occupancy,占有,ˈɑkjəpənsi
occupant,乗員,ˈɑkjəpənt
occupation,職業,ˌɑkjəˈpeɪʃən
orientation,方針；目的；基本的考え；入門指導,ˌɔriɛnˈteɪʃən
overlook,見落とす;見下ろす；,ˈoʊvərˌlʊk
pad,当て布；緩衝材；詰め物；詰め物をする,pæd
pepper,コショウ,ˈpɛpər
permanently,永久に,ˈpɜrmənəntli
precede,先行,prɪˈsid
prediction,予測,priˈdɪkʃən
profitable,有益,ˈprɑfətəbəl
prohibit,禁止する；(A from doing)Aが...するのを妨げる,proʊˈhɪbət
prominent,主要,ˈprɑmənənt
promotional,販売促進用の；宣伝用の,prəˈmoʊʃənəl
promptly,即時,ˈprɑmptli
prospective,期待される；起こりそうな,prəˈspɛktɪv
publish,出版する；掲載する；発表する,ˈpʌblɪʃ
puzzle,パズル,ˈpʌzəl
reception,受信,rɪˈsɛpʃən
receptionist,受付,rɪˈsɛpʃənɪst
recession,不況,rɪˈsɛʃən
recruiter,新人採用担当者,rɪˈkrutər
recruitment,募集,rəˈkrutmənt
reinforce,強化する,ˌriɪnˈfɔrs
relieve,取り除く；安心させる；交代させる,rɪˈliv
reluctant,消極的,rɪˈlʌktənt
reproduce,複写する; 転載する; 再版する；再現する；繁殖する,ˌriprəˈdus
resemble,似ている,rɪˈzɛmbəl
residence,家；邸宅；居住すること,ˈrɛzɪdəns
residential,居住の,ˌrɛzɪˈdɛnʧəl
resignation,辞任,ˌrɛzəgˈneɪʃən
respondent,被告,rɪˈspɑndənt
resume,履歴書,rɪˈzum
retailer,小売店,ˈriˌteɪlər
retreat,退却,riˈtrit
reviewer,評論家；校閲家；審査員,riˈvjuər
revision,修正；改正；修正版；復習,riˈvɪʒən
revolutionize,"大変革をもたらす, 革命を起こす; 革命思想を吹き込む.",ˌrɛvəˈluʃəˌnaɪz
rumor,噂,ˈrumər
satellite,衛星,ˈsætəˌlaɪt
sculpture,彫刻,ˈskʌlpʧər
shortly,まもなく,ˈʃɔrtli
silently,静かに,ˈsaɪləntli
spill,こぼす；まき散らす；溢流,spɪl
statistics,統計,stəˈtɪstɪks
strategic,戦略的,strəˈtiʤɪk
strictly,厳密に,ˈstrɪktli
subsidize,助成,ˈsʌbsɪˌdaɪz
substantially,実質的,səbˈstænʃəli
suburb,郊外,ˈsʌbərb
superior,優れている；上質の；高慢な；目上の人,suˈpɪriər
supervise,監督する；管理する,ˈsupərˌvaɪz
supervisor,監督,ˈsupərˌvaɪzər
tactic,作戦；かけひき；戦術；配列の,ˈtæktɪk
temporarily,仮に,ˌtɛmpəˈrɛrəli
thorough,綿密な,ˈθɜroʊ
thoroughly,徹底的に,ˈθɜroʊli
thrill,ゾクゾクすること；ゾクゾクさせる；感動する,θrɪl
ton,トン,tʌn
transaction,取引；交流；やりとり；処理；議事録,trænˈzækʃən
translation,翻訳,trænˈzleɪʃən
translator,翻訳者,trænˈsleɪtər
transmission,送信；伝達；伝染；放送；変速機,trænˈsmɪʃən
transmit,送信,trænzˈmɪt
tremendous,物凄い；すばらしい；恐ろしい,trəˈmɛndəs
tunnel,トンネル,ˈtʌnəl
unspecified,不特定,ənˈspɛsəˌfaɪd
urgent,緊急,ˈɜrʤənt
urgently,緊急に,ˈɜrʤəntli
utility,公共事業体；有用；実用的な；役に立つもの,juˈtɪləti
valid,妥当,ˈvæləd
violate,違反する；侵害する；汚す；犯す,ˈvaɪəleɪt
violation,違反,vaɪəˈleɪʃən
withdrawal,撤退,wɪðˈdrɔəl
aboard,"乗って; 船[機, 車]内に,新しく加わって",əˈbɔrd
absent,不在の,ˈæbsənt
accountant,会計士,əˈkaʊntənt
accustom,慣らす,əˈkʌstəm
activate,作動する；活性化する；駆り立てる,ˈæktəˌveɪt
adhere,遵守する,ədˈhɪr
adjacent,隣接,əˈʤeɪsənt
administer,管理する；運営する；統治する,ədˈmɪnəstər
alike," 似ている, 同様である,同じように",əˈlaɪk
alternate,代わりの,ˈɔltɜrnət
amateur,アマチュア,ˈæməˌtɜr
ambassador,大使,æmˈbæsədər
ambitious,野心的な,æmˈbɪʃəs
anniversary,記念日,ˌænəˈvɜrsəri
antique,骨董の；古代の；骨董品；古代美術様式,ænˈtik
applicable,適用できる；応用できる；効力がある,ˈæpləkəbəl
applicant,申請者,ˈæplɪkənt
appraisal,鑑定,əˈpreɪzəl
archive,古記録；公文書；古記録保管所；保管する,ˈɑrˌkaɪv
attain,成し遂げる；達成する；到達する,əˈteɪn
attorney,代理人,əˈtɜrni
auction,競売,ˈɑkʃən
authentic,真正の；本物の；確実な；信頼できる；本物そっくりの,əˈθɛntɪk
auto,自動車；自身の；自己の；自動車の,ˈɔtoʊ
automobile,自動車,ˈɔtəmoʊˌbil
await,待つ,əˈweɪt
balloon,風船；気球；吹き出し；ふくらむ；太る,bəˈlun
bankrupt,破産した；破産させる；破産者,ˈbæŋkrəpt
bankruptcy,倒産,ˈbæŋkrəptsi
baseball,野球,ˈbeɪsˈbɔl
