BSL Word,Japanese Translate,Pronunciation(IPA),Explanation
bold,大胆な,boʊld,
bolster,強化する,ˈboʊlstər,
bomber,爆撃機,ˈbɑmər,
bondholder,債券保有者,ˈbɑndˌhoʊldər,
bonus,ボーナス,ˈboʊnəs,
born,生まれ,bɔrn,
borrower,借り手,ˈbɑroʊər,
bounce,跳ねる；弾む,baʊns,
bound,限界；境界；はずむ,baʊnd,
boycott,ボイコット,ˈbɔɪˌkɑt,
bracket,ブラケット；かっこ類；ひとくくりにする,ˈbrækɪt,
brave,勇敢な；勇者,breɪv,
breach,違反,briʧ,
breakdown,壊す,ˈbreɪkˌdaʊn,
breakthrough,突破口,ˈbreɪkˌθru,
bribe,賄賂,braɪb,
brick,煉瓦,brɪk,
broadband,ブロードバンド；広帯域の,ˈbrɔdˌbænd,
broaden,広げる,ˈbrɔdən,
broadly,広く,ˈbrɔdli,
brochure,パンフレット；小冊子,broʊˈʃʊr,
broker,ブローカー；仲介者；仲介する,ˈbroʊkər,
brokerage,仲買,ˈbroʊkərɪʤ,
browser,ブラウザ；拾い読みをする人,ˈbraʊzər,
brutal,凶悪な,ˈbrutəl,
bubble,バブル；泡；泡立つ,ˈbʌbəl,
buffer,バッファ；和らげるもの；衝撃を和らげる,ˈbʌfər,
bug,バグ；虫；悩ませる,bʌg,
builder,建築業者；〜を形成するもの,ˈbɪldər,
bulk,かさ,bʌlk,
bull,ブル,bʊl,
bullet,弾丸,ˈbʊlət,
bully,いじめ,ˈbʊli,
bundle,バンドル；束；包み,ˈbʌndəl,
bureaucracy,官僚,bjʊˈrɑkrəsi,
bureaucrat,官僚,ˈbjʊrəˌkræt,
bureaucratic,官僚,ˌbjʊrəˈkrætɪk,
businessman,ビジネスマン,ˈbɪznəˌsmæn,
bust,胸像；(女性の）胸；破裂させる；破産させる,bʌst,
buyout,買収,ˈbaɪˌaʊt,
cabinet,戸棚,ˈkæbənət,
calculation,計算,ˌkælkjəˈleɪʃən,
calculator,電卓,ˈkælkjəˌleɪtər,
calendar,カレンダー,ˈkæləndər,
campus,構内；大学の,ˈkæmpəs,
cancellation,取り消し,ˌkænsəˈleɪʃən,
candidate,候補者,ˈkændədeɪt,
capita,人,ˈkæpɪtə,
capitalism,資本主義,ˈkæpɪtəˌlɪzəm,
capitalist,資本家,ˈkæpətəlɪst,
capitalization,総額,ˌkæpɪtəlɪˈzeɪʃən,
capitalize,大文字にする,ˈkæpətəˌlaɪz,
captain,キャプテン；長,ˈkæptən,
cargo,貨物,ˈkɑrˌgoʊ,
carmaker,自動車メーカー,ˈkɑrˌmeɪkər,
carrier,運ぶもの；運送会社；通信会社；保険会社,ˈkæriər,
cartel,カルテル；企業連合,kɑrˈtɛl,
casino,カジノ,kəˈsinoʊ,
casual,カジュアル；無頓着な；臨時の；偶然の,ˈkæʒəwəl,原義は「偶然の」
casualty,死傷者,ˈkæʒəwəlti,
catastrophe,破局,kəˈtæstrəfi,
cater,（for A）Aの料理をまかなう,ˈkeɪtər,
cattle,牛,ˈkætəl,
caution,注意,ˈkɑʃən,
cautious,"注意深い,用心深い；慎重な",ˈkɔʃəs,〖be cautious about A/doing〗 〈人が〉A〈人･物･事〉について[…することに]慎重である; 〖be cautious to do/not to do〗 〈人が〉…するのに[…しないよう]用心している
cease,終わる；やめる,sis,
ceasefire,停戦,ˈsiˈsfaɪər,
ceiling,天井,ˈsilɪŋ,
celebrity,有名人,səˈlɛbrɪti,
census,人口調査,ˈsɛnsəs,
centralize,一元化,ˈsɛntrəˌlaɪz,
certainty,確実,ˈsɜrtənti,
certificate,証明書,sərˈtɪfɪkət,
certification,認証,ˌsɜrtəfəˈkeɪʃən,
certify,証明 / 保証する,ˈsɜrtəˌfaɪ,
chancellor,宰相,ˈʧænsələr,
chaos,混沌,ˈkeɪɑs,
charitable,慈善の,ˈʧærətəbəl,
charter,憲章；認可書；契約使用,ˈʧɑrtər,
cheaply,安く,ˈʧipli,
cheat,チート；騙す,ʧit,
cheer,歓声,ʧɪr,
cheque,小切手,cheque,
chunk,チャンク；大きな塊；かなりの量；決まり文句,ʧʌŋk,
cinema,映画館；映画,ˈsɪnəmə,
circuit,回路,ˈsɜrkət,
circulate,循環する；広まる；動き回る,ˈsɜrkjəˌleɪt,
circulation,循環；流通；広まり；発行部数,ˈsɜrkjəˌleɪʃən,
citation,引用,saɪˈteɪʃən,
citizenship,市民権,ˈsɪtɪzənˌʃɪp,
clarify,明らかにする,ˈklɛrəˌfaɪ,
clarity,明快,ˈklɛrəti,
clash,衝突,klæʃ,
classification,分類,ˌklæsəfəˈkeɪʃən,
classify,分類,ˈklæsəˌfaɪ,
classroom,教室,ˈklæsˌrum,
cleaner,クリーナー；掃除機；清浄機,ˈklinər,
cleric,牧師,ˈklɛrɪk,
clever,賢い；抜け目ない,ˈklɛvər,
click,クリック；カチッと音を立てる；仲良くなる,klɪk,
client,クライアント；依頼人；相談者；保護国,ˈklaɪənt,
clinic,診療所,ˈklɪnɪk,
clip,クリップ；切りそろえる；切り抜く,klɪp,
clone,クローン；まったく同じようなもの；無性生殖する,kloʊn,
closure,閉鎖,ˈkloʊʒər,
clout,影響力,klaʊt,
clue,手がかり,klu,
coalition,連立,ˌkoʊəˈlɪʃən,
coefficient,係数,ˌkoʊəˈfɪʃənt,
cognitive,認知,ˈkɑgnɪtɪv,
coincide,一致,ˌkoʊɪnˈsaɪd,
collaboration,協力；共同研究,kəˌlæbəˈreɪʃən,
collar,襟,ˈkɑlər,
collateral,"担保；傍系親族；付随する, 副次[二次]的な；並行した；見返りの.",kəˈlætərəl,
collective,集合的な,kəˈlɛktɪv,
collectively,ひとまとめに,kəˈlɛktɪvli,
colonial,植民地の；群生の,kəˈloʊniəl,
combat,戦闘,ˈkɑmbæt,
commander,指揮官,kəˈmændər,
commence,開始する,kəˈmɛns,
commentator,実況解説者；評論家,ˈkɑmənˌteɪtər,
commerce,商業,ˈkɑmərs,
commissioner,長官；警視総監,kəˈmɪʃənər,
commodity,"産物,商品;日用品；役に立つ[便利な]物",kəˈmɑdəti,
commonly,一般に,ˈkɑmənli,
communism,共産主義,ˈkɑmjəˌnɪzəm,
communist,共産主義者,ˈkɑmjənəst,
comparable,同程度の,ˈkɑmpərəbəl,
comparative,比較の,kəmˈpɛrətɪv,
compatible,両用の；互換性のある；うまがあう,kəmˈpætəbəl,
compel,強制する；引き起こす,kəmˈpɛl,
compensate,埋め合わせる；補償をする,ˈkɑmpənˌseɪt,
competence,技量,ˈkɑmpətɪns,
competency,能力；力量；適性；法的権限,ˈkɑmpətɪnsi,competenceと同義
competent,"（形）有能な；能力のある；適任の；満足のいく；法的権限のある；（副）有能に, 効果的に",ˈkɑmpətɪnt,
competitiveness,競争力,kəmˈpɛtɪtɪvnɪs,
compile,編集する；まとめる；機械語に翻訳する,kəmˈpaɪl,
complement,"補うもの；総数；補語；補色；補う,補完する；引き立てる",ˈkɑmpləmənt,
completion,完了,kəmˈpliʃən,
compliance,コンプライアンス；法令遵守；追従,kəmˈplaɪəns,
comply,従う；応じる；合致する,kəmˈplaɪ,
composite,複合,kəmˈpɑzət,
compulsory,"義務的な, 強制的な；必修の；規定演技.",kəmˈpʌlsəri,
computation,算出,ˌkɑmpjəˈteɪʃən,
computerize,コンピューター化する；電子化する,kəmˈpjutəˌraɪz,
con,信用詐欺；反対理由,kɑn,
conceal,隠す,kənˈsil,
concede,認める,kənˈsid,
conceptual,概念の,kənˈsɛpʧuəl,
concession,"譲歩,許容；売店；許可,認可,特権；考慮,配慮；居留地",kənˈsɛʃən,
condemn,非難する,kənˈdɛm,
conditional,条件付きの,kənˈdɪʃənəl,
confer,与える,kənˈfɜr,
conference,会議,ˈkɑnfərəns,
confidential,機密,ˌkɑnfəˈdɛnʃəl,
configuration,配置；機器構成；プログラムの設定,kənˌfɪgjəˈreɪʃən,
confine,閉じ込める,kənˈfaɪn,
confirmation,確認,ˌkɑnfərˈmeɪʃən,
conform,従う；従わせる,kənˈfɔrm,
confront,対面,kənˈfrʌnt,
confrontation,対決,ˌkɑnfrənˈteɪʃən,
conglomerate,複合企業体；寄せ集まった,kənˈglɑmərət,
congressional,米国議会の; (一般に)国会の; 会議の,kənˈgrɛʃənəl,
congressman,議員,ˈkɑŋgrəsmən,
conjunction,接続詞,kənˈʤʌŋkʃən,
conscious,意識して,ˈkɑnʃəs,
consecutive,連続的な,kənˈsɛkjətɪv,
consensus,コンセンサス；合意；総意,kənˈsɛnsəs,
consent,同意,kənˈsɛnt,
conservation,保全,ˌkɑnsərˈveɪʃən,
considerably,かなり,kənˈsɪdərəbli,
consistency,一貫性,kənˈsɪstənsi,
consistently,一貫して,kənˈsɪstəntli,
consolidate,統合する,kənˈsɑlɪˌdeɪt,
consolidation,合併,kənˌsɑləˈdeɪʃən,
consortium,コンソーシアム；連合体；企業連合,kənˈsɔrʃiəm,
conspiracy,陰謀,kənˈspɪrəsi,
constituency,選挙区；(選挙区の)有権者；支援団体；購買層,kənˈstɪʧuənsi,
constituent,成分,kənˈstɪʧuənt,
constitution,憲法,ˌkɑnstəˈtuʃən,
constitutional,憲法の,ˌkɑnstəˈtuʃənəl,
constrain,制約,kənˈstreɪn,
constructive,建設的,kənˈstrʌktɪv,
consultancy,コンサルタント会社；専門的なアドバイス,kənˈsʌltənsi,
consultation,相談,ˌkɑnsəlˈteɪʃən,
consumption,"消費, 消耗, 使い果たすこと；購入；消費量；摂取；肺結核",kənˈsʌmpʃən,
container,容器,kənˈteɪnər,
contemplate,企図,ˈkɑntəmˌpleɪt,
contend,であると強く主張する；戦う；(with A)Aに対処する,kənˈtɛnd,
continent,大陸,ˈkɑntənənt,
continental,北アメリカ大陸の；大陸的な,ˌkɑntəˈnɛntəl,
contingency,非常事態,kənˈtɪnʤənsi,
contingent,"派遣団,代表団；不慮の出来事；（be~）依存して；不慮の, 偶発の；不確かな,ありえる.",kənˈtɪnʤənt,
continually,絶えず,kənˈtɪnjuəli,
continuity,連続,ˌkɑntəˈnuəti,
continuously,連続,kənˈtɪnjuəsli,
contractor,請負人,ˈkɑnˌtræktər,
contractual,契約,kənˈtrækʧuəl,
contrary,反対,ˈkɑntrɛri,
contributor,投稿者,kənˈtrɪbjətər,
controller,コントローラー；管理する人；監査役,kənˈtroʊlər,
controversy,論争,ˈkɑntrəˌvɜrsi,
convenience,便利さ；利便性；便利なもの,kənˈvinjəns,
convenient,便利,kənˈvinjənt,
converge,一点に向かって集まる；収斂する,kənˈvɜrʤ,
convergence,収束,kənˈvɜrʤəns,
conversion,変換,kənˈvɜrʒən,
convertible,変換できる；同義の；転換社債,kənˈvɜrtəbəl,
convey,伝える,kənˈveɪ,
convict,犯罪者,ˈkɑnvɪkt,
conviction,信念,kənˈvɪkʃən,
cooperative,協同組合,koʊˈɑpəˌreɪtɪv,
coordinate,うまく調整する；まとめる；調和させる；座標；等位の；対等の,koʊˈɔrdənət,
coordination,同調；調整；同調関係,koʊˌɔrdəˈneɪʃən,
copper,銅,ˈkɑpər,
copyright,著作権,ˈkɑpiˌraɪt,
corn,とうもろこし；（肉などを）塩漬けにする,kɔrn,
correction,補正,kəˈrɛkʃən,
corrective,是正,kəˈrɛktɪv,
correctly,正しく,kəˈrɛktli,
correlate,相関,ˈkɔrəˌleɪt,
correlation,相関,ˌkɔrəˈleɪʃən,
correspondent,"特派員,通信員,記者；手紙を書く人；取引先；対応[一致]するもの；〖be～〗一致[対応]して",ˌkɔrəˈspɑndənt,
corrupt,腐敗した,kəˈrʌpt,
corruption,汚職,kəˈrʌpʃən,
costly,高価な,ˈkɑstli,
cotton,コットン；木綿；綿,ˈkɑtən,
counterpart,対応,ˈkaʊntərˌpɑrt,
counterparty,相手方,ˈkaʊntərˌpɑrti,
countryside,田舎,ˈkʌntriˌsaɪd,
coup,クーデター；武力政変,ku,
coupon,割引券；申し込み用紙；回数券,ˈkuˌpɔn,
covariance,共分散,covariance,
covenant,契約,ˈkʌvənənt,
creativity,創造性,ˌkrieɪˈtɪvəti,
credential,信任状,krɪˈdɛnʧəl,
credibility,信頼性,ˌkrɛdəˈbɪlɪti,
credible,信頼できる,ˈkrɛdəbəl,
creditor,債権者,ˈkrɛdətər,
criteria,基準,kraɪˈtɪriə,
crude,"粗削りな,雑な;大ざっぱな；無礼な；みだらな；天然のままの；ありのままの；原油",krud,
cruise,クルーズ；遊覧航海する,kruz,
crunch,噛み砕く,krʌnʧ,
crush,押しつぶす；粉砕する,krʌʃ,
cumulative,累積的な,ˈkjumjələtɪv,
curb,縁石,kɜrb,
cure,治す,kjʊr,
customize,カスタマイズする；好みに合わせて変更する,ˈkʌstəˌmaɪz,
cyclical,循環的,ˈsaɪklɪkəl,
dash,急いでいく；突進する,dæʃ,
deadline,締め切り,ˈdɛˌdlaɪn,
debenture,債券,dəˈbɛnʧər,
debit,借り方,ˈdɛbɪt,
debtor,債務者,ˈdɛtər,
decent,"満足できる,立派な；相当な；まずまずの；親切な,上品な；きちんとした,まともな",ˈdisənt,〖原義は「適切な」〗
decentralize,分散する；分権する,dɪˈsɛntrəˌlaɪz,
decimal,小数,ˈdɛsəməl,
declaration,宣言,ˌdɛkləˈreɪʃən,
decree,"法令, 命令, 布告；判決；神意；法令で定める；命じる；判決を下す",dɪˈkri,
deduct,差し引く；控除する,dɪˈdʌkt,
deductible,課税控除の対象になる,dɪˈdʌktəbəl,
deduction,推論；差し引き；控除,dɪˈdʌkʃən,
deed,証書,did,
deem,みなす,dim,
default,デフォルト,dɪˈfɔlt,
defect,欠陥,ˈdifɛkt,
defective,欠陥のある；不完全な,dɪˈfɛktɪv,
defendant,被告(人)；被告(側)の,dɪˈfɛndənt,
defensive,守備の,dɪˈfɛnsɪv,
defer,延期,dɪˈfɜr,
deficiency,欠乏,dɪˈfɪʃənsi,
deflation,デフレ,dɪˈfleɪʃən,
defy,従わない；公然と反抗する,dɪˈfaɪ,
delegate,代表,ˈdɛləgət,
delegation,代表団,ˌdɛləˈgeɪʃən,
delete,削除,dɪˈlit,
deliberate,意図的,dɪˈlɪb(ə)rət,
deliberately,わざと,dɪˈlɪbərətli,
deliverable,配送品；達成事項；配達可能な; 救出できる；到達可能な.,dɪˈlɪvərəbəl,
delta,デルタ；三角州；三角形のもの,ˈdɛltə,
demise,"終了,停止；終結；死去；不動産権の移転；譲位；譲渡する；譲る",dɪˈmaɪz,
demographic,(単数)特定の人工集団；人口統計学の,ˌdɛməˈgræfɪk,
denominate,呼称,dɪˈnɑməˌneɪt,
denote,示す；意味する,dɪˈnoʊt,
denounce,非難,dɪˈnaʊns,
dent,凹み,dɛnt,
depart,出発する；それる；辞任する；逝く,dɪˈpɑrt,
departure,出発；立ち去ること；辞職；逸脱,dɪˈpɑrʧər,
dependence,頼ること；依存,dɪˈpɛndəns,
dependency,依存；属国；依存物,dɪˈpɛndənsi,
depict,表現する；描写する,dɪˈpɪkt,
deploy,展開させる；配置する；作動する,dɪˈplɔɪ,
deployment,配備,dɪˈplɔɪmənt,
depositor,寄託者,dəˈpɑzɪtər,
depreciate,価値・価格が下がる,dɪˈpriʃiˌeɪt,
depreciation,価値の低下；減価償却；軽視,dɪˌpriʃiˈeɪʃən,
deprive,奪う,dɪˈpraɪv,
deputy,代理人；代行；代議士,ˈdɛpjəti,
deregulation,規制緩和,diˌrɛgjəˈleɪʃən,
derivative,派生物,dəˈrɪvətɪv,
designate,指名,ˈdɛzɪgnɪt,
desirable,望ましい,dɪˈzaɪrəbəl,
desktop,デスクトップ；机の表面,ˈdɛskˌtɑp,
desperate,"絶望した；自暴自棄の,やけくその；〖be～〗欲しくてたまらない；深刻な；必死の",ˈdɛsprɪt,〖be ～〗 «…が» 欲しくてたまらない «for» ; «…したくて» たまらない «to do» ; 〖be ～ for A to do〗 A〈人〉が…するのを強く望む
destination,"目的地, 到達地, 行き先；最終目標",ˌdɛstəˈneɪʃən,
detection,検出,dɪˈtɛkʃən,
deter,思いとどまらせる；躊躇わせる,dɪˈtɜr,
deteriorate,悪化する；悪くなる；低下する,dɪˈtɪriəˌreɪt,
determinant,"（名）決定要因；行列式；（形）決定的な, 決定力のある.",dɪˈtɜrmənənt,
devaluation,平価切下げ,dɪˌvæljuˈeɪʃən,
devastate,打ちのめされる；挫折させられる；荒廃させられる,ˈdɛvəˌsteɪt,
developer,宅地開発業者；開発者,dɪˈvɛləpər,
deviation,偏差,ˌdiviˈeɪʃən,
devise,工夫,dɪˈvaɪz,
diagram,図；図式；運行計画表；図で示す,ˈdaɪəˌgræm,
diamond,ダイヤモンド,ˈdaɪmənd,
diary,日記,ˈdaɪəri,
dictate,書き取らせる；厳しく命令する；影響する,ˈdɪkˌteɪt,
dictator,独裁者,dɪkˈteɪtər,
dictatorship,独裁,dɪkˈteɪtərˌʃɪp,
differential,微分,ˌdɪfəˈrɛnʃəl,
differentiate,分化,ˌdɪfəˈrɛnʃiˌeɪt,
differentiation,"区別,識別；差別；分化",dɪfəˌrɛnʃiˈeɪʃən,
digit,桁,ˈdɪʤət,
dilemma,ジレンマ；板挟み,dɪˈlɛmə,
diligence,勤勉,ˈdɪləʤəns,
dilute,希薄,daɪˈlut,
diminish,減る,dɪˈmɪnɪʃ,
dioxide,二酸化物,daɪˈɑkˌsaɪd,
dip,浸漬,dɪp,
diplomacy,外交,dɪˈploʊməsi,
diplomat,外交官,ˈdɪpləˌmæt,
diplomatic,外交的,ˌdɪpləˈmætɪk,
directive,指令,dəˈrɛktɪv,
directory,人名簿；住所録；ディレクトリ,dəˈrɛktəri,
disability,身体障害,ˌdɪsəˈbɪlɪti,
disable,障害を負わせる；作動しないようにする,dɪˈseɪbəl,
disadvantage,不利益,ˌdɪsədˈvæntɪʤ,
disagreement,不一致,dɪsəˈgrimənt,
disastrous,悲惨,dɪˈzæstrəs,
discharge,流出,dɪsˈʧɑrʤ,
disclose,開示する；明らかにする,dɪˈskloʊz,
disclosure,開示,dɪˈskloʊʒər,
discontinue,中止する；やめる,dɪskənˈtɪnju,
discourage,落胆させる,dɪˈskərɪʤ,
discrete,離散,dɪˈskrit,
discretion,自由裁量；思慮分別,dɪˈskrɛʃən,
discretionary,自由裁量の,dɪˈskrɛʃəˌnɛri,
discriminate,差別する,dɪˈskrɪmənɪt,
discrimination,差別；優遇；えこひいき；識別眼；鑑識眼,dɪˌskrɪməˈneɪʃən,
disguise,変装,dɪsˈgaɪz,
dislike,嫌い,dɪˈslaɪk,
dismal,陰気,ˈdɪzməl,
dismantle,解体,dɪˈsmæntəl,
dismissal,解任,dɪˈsmɪsəl,
dispatch,ディスパッチ；公文書；派遣する；発送する,dɪˈspæʧ,
displace,変位,dɪˈspleɪs,
disposable,使い捨て,dɪˈspoʊzəbəl,
disposal,処分；配置；処分権,dɪˈspoʊzəl,
dispose,"配置する,(of)処分する",dɪˈspoʊz,
disposition,"性質,性格；傾向；気持ち,意向；配置,配列；譲渡,売却,処分",ˌdɪspəˈzɪʃən,
disrupt,混乱させる,dɪsˈrʌpt,
disruption,混乱,dɪsˈrʌpʃən,
dissent,異議,dɪˈsɛnt,
dissident,"（名）異議を唱える人;反体制派の人；（形）異論を持つ, 反体制(派)の.",ˈdɪsədɪnt,
dissolution,解散,ˌdɪsəˈluʃən,
dissolve,ディゾルブ；溶かす；溶ける；解散させる,dɪˈzɑlv,
distinctive,独特,dɪˈstɪŋktɪv,
distort,歪めて伝える；ゆがめる,dɪˈstɔrt,
distortion,ねじれ,dɪˈstɔrʃən,
distress,苦悩,dɪˈstrɛs,
distribution,分布,ˌdɪstrəˈbjuʃən,
distributor,代理店,dɪˈstrɪbjətər,
diverse,多様,daɪˈvɜrs,
diversification,多様化,daɪˌvɜrsəfəˈkeɪʃən,
diversify,多様化,daɪˈvɜrsəˌfaɪ,
divert,迂回,daɪˈvɜrt,
dividend,配当,ˈdɪvɪˌdɛnd,
doctrine,教義；基本方針,ˈdɑktrən,
documentation,ドキュメンテーション；公式文書；説明書,ˌdɑkjəmɛnˈteɪʃən,
domain,ドメイン；分野；領地,doʊˈmeɪn,
dominance,"優勢,優越；支配(力)；優性",ˈdɑmənəns,
dominant,支配的な,ˈdɑmənənt,
donation,寄付,doʊˈneɪʃən,
donor,ドナー；寄付する人,ˈdoʊnər,
doom,運命,dum,
dose,用量,doʊs,
dot,ドット；点,dɑt,
doubtful,疑わしい,ˈdaʊtfəl,
downgrade,ダウングレード,ˈdaʊnˈgreɪd,
download,ダウンロード,ˈdaʊnˌloʊd,
